PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=455 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=456 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_seq=458 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=460 ttl=64 time=103 ms
64 bytes from 10.0.0.2: icmp_seq=461 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=462 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=465 ttl=64 time=111 ms
64 bytes from 10.0.0.2: icmp_seq=466 ttl=64 time=93.3 ms
64 bytes from 10.0.0.2: icmp_seq=467 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_seq=468 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_seq=469 ttl=64 time=121 ms
64 bytes from 10.0.0.2: icmp_seq=470 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=471 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=472 ttl=64 time=89.9 ms
64 bytes from 10.0.0.2: icmp_seq=473 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=474 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=476 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=477 ttl=64 time=109 ms
64 bytes from 10.0.0.2: icmp_seq=478 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=479 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=480 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=482 ttl=64 time=109 ms
64 bytes from 10.0.0.2: icmp_seq=483 ttl=64 time=99.3 ms
64 bytes from 10.0.0.2: icmp_seq=484 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_seq=487 ttl=64 time=109 ms
64 bytes from 10.0.0.2: icmp_seq=488 ttl=64 time=102 ms
64 bytes from 10.0.0.2: icmp_seq=489 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=492 ttl=64 time=84.4 ms
64 bytes from 10.0.0.2: icmp_seq=493 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_seq=494 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=496 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=497 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=498 ttl=64 time=113 ms
